id;c_npj;telefone;c_ep;razao_social;nome_fantasia;tipo_unidade_saude
1;Credit Card Account pink;Consultant Future Facilitator;Dalasi Licensed Granite Towels;Lead Generic Metal Chair;killer plum European Monetary Unit (E.M.U.-6);PUBLICA
2;harness;Credit Card Account;explicit Branding withdrawal;communities Soft program;Identity e-commerce;PUBLICA
3;maroon;overriding SSL;Granite;architectures Buckinghamshire project;Shoals;PARTICULAR
4;virtual New York;Colombian Peso Unidad de Valor Real;Reverse-engineered Architect fresh-thinking;Car Architect;Bahrain payment PCI;PARTICULAR
5;wireless;optimize Dynamic;synthesize Steel infomediaries;Home Loan Account Bahamian Dollar;Home synthesize Hong Kong;PUBLICA
6;Tasty Soft Chicken Security Chief;cohesive withdrawal Syrian Arab Republic;wireless bus Tuna;Gloves disintermediate;Forward;PUBLICA
7;Wyoming Analyst CSS;Integration Kyat;Sports Bedfordshire Monaco;architect;capacitor Papua New Guinea Tasty Concrete Shoes;PUBLICA
8;back-end;New Jersey silver;Manager;SMS;Implementation;PUBLICA
9;Rubber;knowledge user bypass;real-time;Brunei Dollar;Netherlands Antillian Guilder;PARTICULAR
10;schemas JSON;Ergonomic Borders;Investment Account;Intelligent Frozen Car;Cuban Peso Peso Convertible Director green;PARTICULAR
