id;descricao;preco;codigo
1;Re-contextualized yellow compressing;25903;Lead
2;Lempira virtual Dalasi;28936;Granite Accountability Supervisor
3;RAM;11939;deliverables Throughway Concrete
4;out-of-the-box Ghana;33050;Auto Loan Account Manager Concrete
5;Administrator open-source;88674;expedite Licensed
6;Table interface maximized;15216;killer maroon
7;Licensed deposit transmitting;58014;SDD Multi-layered
8;Savings Account;96643;Integration Money Market Account
9;multi-byte;33852;Heights B2C Wooden
10;parsing repurpose;73112;port Borders
