id;u_uid;endereco;c_npj;telefone;c_ep;razao_social;nome_fantasia;tipo_unidade_saude
1;turquoise Mauritania;Grocery;Designer SMTP New Taiwan Dollar;Operations Assistant Product;JBOD Auto Loan Account;ADP white panel;dynamic gold Glen;PARTICULAR
2;payment Towels;Credit Card Account superstructure;Oman Afghanistan payment;strategize deposit circuit;copy Ameliorated;Car Avon collaborative;Liaison Handcrafted;PUBLICA
3;circuit Norwegian Krone;Savings Account e-business Bike;Montserrat Managed Mauritius;Egypt niches;Pizza SAS;JBOD;Manager Home Loan Account;PUBLICA
4;Chief Small Rubber Towels;bluetooth engage Mountains;quantifying;Throughway;Personal Loan Account;mesh Designer;mint green orchestrate Intelligent Granite Tuna;PARTICULAR
5;Human;Skyway Granite EXE;harness THX;Frozen East Caribbean Dollar Corner;Chile;redundant;harness leverage networks;PARTICULAR
6;Money Market Account calculate;Sleek THX Principal;secondary paradigms;Mountains groupware Kuwaiti Dinar;Shirt;Haiti platforms Enhanced;Clothing encoding;PUBLICA
7;explicit Romania;Car;Colorado;Villages Computers;Chief;Avon;Idaho;PUBLICA
8;Fresh Licensed deposit;Avon back up Principal;B2B orange;Computers;Gorgeous hard drive;Wyoming Intranet;bleeding-edge;PARTICULAR
9;Accounts deposit;North Dakota;salmon Trace;index;demand-driven deposit;Nevada Wooden;microchip;PARTICULAR
10;Home Loan Account Tunisian Dinar;Bedfordshire RSS;deposit;user-centric Guam Bangladesh;revolutionary definition;virtual Village;online Licensed Metal Soap Salad;PARTICULAR
