id;c_npj;telefone;c_ep;razao_social;nome_fantasia;tipo_unidade_saude
1;Awesome pixel Ball;radical Personal Loan Account SDD;invoice;Salad;drive;PARTICULAR
2;virtual;Bedfordshire mission-critical circuit;FTP Investment Account;Universal;collaboration;PUBLICA
3;Minnesota Optimized interface;transmitting Pizza;Books Crossing synthesizing;infrastructures Money Market Account Regional;Exclusive Home Loan Account;PARTICULAR
4;Handmade redundant Soft;synthesize;circuit;Health;payment Saint Barthelemy envisioneer;PARTICULAR
5;blue Fresh;open-source;Metal;firewall Senior Checking Account;intranet;PUBLICA
6;deploy secondary;Expanded;holistic Applications Handcrafted Rubber Sausages;Group;transparent Synergistic;PARTICULAR
7;Hong Kong cross-media;Incredible Steel Pizza;Kip action-items optical;invoice;Customer;PUBLICA
8;Analyst Djibouti Franc;Colorado;maximized;Danish Krone auxiliary;Bacon Unbranded Granite;PUBLICA
9;white Kiribati client-driven;Small Wooden Ball green;Auto Loan Account Incredible;Cloned Tools;Credit Card Account;PARTICULAR
10;Ramp Developer Senior;Fundamental Cheese;Credit Card Account;USB Junctions;Solutions parsing;PUBLICA
