id;c_npj;telefone;c_ep;razao_social;nome_fantasia;tipo_unidade_saude
1;Advanced Rustic;cross-platform Liaison turn-key;quantifying;Rubber;navigating markets SCSI;PUBLICA
2;Codes specifically reserved for testing purposes;bandwidth Toys;Delaware;backing up back up;Soft;PARTICULAR
3;Nevada;JBOD repurpose;methodical supply-chains;withdrawal Cotton;PCI Central;PUBLICA
4;Taiwan;COM Licensed;auxiliary Borders;cross-platform;Intelligent Fresh Keyboard;PUBLICA
5;back up Intelligent;US Dollar Massachusetts Home Loan Account;Unbranded black Comoro Franc;mission-critical implementation multi-byte;calculate microchip;PUBLICA
6;gold FTP;Rubber;Surinam Dollar;AGP THX;Money Market Account;PARTICULAR
7;bluetooth;Granite logistical;bandwidth;Books ivory Forward;Seamless;PARTICULAR
8;navigate Soft;Global;invoice array;Investor;project exuding;PARTICULAR
9;alarm Handmade Soft Mouse Pennsylvania;indexing reboot application;Ergonomic Steel Table parse quantify;frictionless;Mouse Small;PARTICULAR
10;Michigan back-end bus;Games networks;Forint Checking Account;HTTP bluetooth;Soap Peru;PUBLICA
