id;descricao;preco;codigo
1;Savings Account transform tangible;10228;Fork
2;Total;73914;payment
3;SMTP bypass;14457;bluetooth Gorgeous payment
4;yellow;55349;Berkshire
5;Checking Account Port;7581;Money Market Account Beauty programming
6;cultivate Investment Account;6912;wireless Fully-configurable
7;technologies Health;97541;Usability
8;Polarised Grocery Cambridgeshire;1418;Books human-resource
9;invoice online;64786;Ergonomic application Towels
10;reciprocal bypassing gold;74305;Handcrafted Handcrafted Concrete Table overriding
