id;tipo;numero;pais;estado;cidade;bairro;c_ep;coordenadas_geograficas
1;customized Small Practical;Officer Personal Loan Account online;Applications Canyon;USB;interfaces Beauty back-end;Forward;Chair;motivating
2;Bacon Integration;Fall circuit bandwidth-monitored;dot-com synthesizing;ivory Checking Account;next-generation;Personal Loan Account motivating;Belize;cross-platform methodology repurpose
3;circuit;Corporate copying;calculate;Belgium;Belize magenta Intelligent;markets bypass;transmit;Manager Bacon North Dakota
4;Concrete;Auto Loan Account;withdrawal;GB copy product;reinvent backing up;Small;copying;Table indexing
5;Practical Steel Chips;Lempira Credit Card Account synthesizing;Principal RSS XML;magenta mobile Gibraltar Pound;Maryland;Personal Loan Account;back up Lock;pink Front-line
6;embrace Mall;Director Rustic Frozen Sausages;connecting Rand Loti Gardens;bandwidth Chair Savings Account;Mali;Chair mint green;Texas Secured;Avon
7;orange Florida;Philippine Peso Garden;Wooden program;Fords Intelligent Fresh;Principal;Maryland navigate bypassing;Florida Cambridgeshire JSON;deposit transmitting
8;calculating Fresh;Central Mobility Checking Account;Buckinghamshire Versatile;interface transmitting;expedite;hacking;deposit;deposit
9;synergize intermediate Route;Usability bandwidth Handmade Soft Soap;Divide monitor reboot;Buckinghamshire reboot;solid state Mouse Internal;Missouri deliverables neural;Agent proactive;Frozen Ameliorated
10;Robust salmon;Buckinghamshire Handmade;Gorgeous Savings Account Wooden;Intelligent;payment;Incredible Fully-configurable;bypassing software;array
