id;nome;lote;data_aplicacao
1;online;generating;2020-09-15
2;Small Wooden Table Intelligent Concrete Towels schemas;feed Books Borders;2020-09-15
3;generating global Personal Loan Account;copying tertiary;2020-09-15
4;Plastic Tools;strategic;2020-09-15
5;Savings Account Hat Fantastic Concrete Shirt;Mill Dynamic;2020-09-15
6;frictionless Bahamian Dollar;parsing Mouse Incredible Frozen Soap;2020-09-15
7;Adaptive Gorgeous Plastic Chips;hack;2020-09-15
8;Nevada alarm Terrace;Configuration Ergonomic Steel Bike;2020-09-15
9;interface optimize;solid state Concrete;2020-09-15
10;Rue;Digitized;2020-09-15
