id;descricao;preco;codigo
1;Soft cultivate backing up;6905;yellow
2;mission-critical deposit Practical;83218;Intelligent Steel Tuna
3;invoice quantifying;31196;ubiquitous
4;Facilitator;67079;Interactions reboot
5;systems Personal Loan Account;64938;Awesome Cotton Bike Investor whiteboard
6;transmitting Networked Health;83245;full-range IB Dam
7;AI invoice Fantastic Cotton Soap;1690;parse Small Soft Pants
8;National;80756;Mauritania Gloves
9;Personal Loan Account Georgia;38465;Flats
10;asymmetric;38519;Facilitator matrix
